	load
t1	43701.00
t2	41913.00
t3	40331.00
t4	39162.00
t5	38676.00
t6	38034.00
t7	36900.00
t8	37260.00
t9	38078.00
t10	40344.00
t11	42814.00
t12	45546.00
t13	46372.00
t14	45775.00
t15	45485.00
t16	46147.00
t17	48782.00
t18	52519.00
t19	53128.00
t20	52005.00
t21	49820.00
t22	48139.00
t23	47440.00
t24	44439.00
t25	41257.00
t26	39121.00
t27	38271.00
t28	37965.00
t29	38807.00
t30	39525.00
t31	40469.00
t32	43463.00
t33	47248.00
t34	50897.00
t35	53389.00
t36	55371.00
t37	55922.00
t38	55201.00
t39	54554.00
t40	54700.00
t41	56689.00
t42	59611.00
t43	59778.00
t44	58184.00
t45	54723.00
t46	52557.00
t47	51794.00
t48	48859.00
t49	45600.00
t50	43067.00
t51	41858.00
t52	41317.00
t53	41180.00
t54	40826.00
t55	40329.00
t56	42017.00
t57	44620.00
t58	47842.00
t59	50808.00
t60	53782.00
t61	54113.00
t62	52635.00
t63	51487.00
t64	51389.00
t65	53460.00
t66	57420.00
t67	58169.00
t68	56896.00
t69	54473.00
t70	52999.00
t71	52522.00
t72	49366.00
t73	46707.00
t74	44926.00
t75	43950.00
t76	43896.00
t77	45239.00
t78	48212.00
t79	54565.00
t80	60941.00
t81	64750.00
t82	66379.00
t83	67676.00
t84	68993.00
t85	69371.00
t86	68527.00
t87	67408.00
t88	66946.00
t89	68071.00
t90	71193.00
t91	71085.00
t92	69218.00
t93	65293.00
t94	62109.00
t95	59701.00
t96	55525.00
t97	52320.00
t98	50034.00
t99	49021.00
t100	49028.00
t101	49969.00
t102	52952.00
t103	58470.00
t104	64505.00
t105	67481.00
t106	68431.00
t107	69696.00
t108	70748.00
t109	70612.00
t110	69671.00
t111	68836.00
t112	68455.00
t113	69570.00
t114	72290.00
t115	71755.00
t116	69817.00
t117	65838.00
t118	62451.00
t119	59707.00
t120	55272.00
t121	52128.00
t122	50103.00
t123	48997.00
t124	48885.00
t125	49753.00
t126	51443.00
t127	55375.00
t128	60387.00
t129	63337.00
t130	64608.00
t131	66051.00
t132	67574.00
t133	67399.00
t134	66451.00
t135	65330.00
t136	64924.00
t137	66161.00
t138	69424.00
t139	69464.00
t140	67660.00
t141	64076.00
t142	61195.00
t143	59131.00
t144	54981.00
t145	51976.00
t146	49943.00
t147	48810.00
t148	48739.00
t149	50148.00
