	pv	wind
t1	0.000	0.334
t2	0.000	0.337
t3	0.000	0.337
t4	0.000	0.337
t5	0.000	0.337
t6	0.000	0.337
t7	0.000	0.337
t8	0.000	0.337
t9	0.000	0.337
t10	0.015	0.337
t11	0.045	0.337
t12	0.073	0.337
t13	0.090	0.337
t14	0.090	0.337
t15	0.073	0.337
t16	0.044	0.337
t17	0.012	0.337
t18	0.000	0.337
t19	0.000	0.337
t20	0.000	0.337
t21	0.000	0.337
t22	0.000	0.337
t23	0.000	0.337
t24	0.000	0.337
t25	0.000	0.337
t26	0.000	0.337
t27	0.000	0.337
t28	0.000	0.337
t29	0.000	0.337
t30	0.000	0.337
t31	0.000	0.337
t32	0.000	0.337
t33	0.000	0.337
t34	0.015	0.337
t35	0.045	0.337
t36	0.073	0.337
t37	0.090	0.337
t38	0.090	0.337
t39	0.073	0.337
t40	0.044	0.337
t41	0.012	0.337
t42	0.000	0.337
t43	0.000	0.337
t44	0.000	0.337
t45	0.000	0.337
t46	0.000	0.337
t47	0.000	0.337
t48	0.000	0.337
t49	0.000	0.337
t50	0.000	0.337
t51	0.000	0.337
t52	0.000	0.337
t53	0.000	0.337
t54	0.000	0.337
t55	0.000	0.337
t56	0.000	0.337
t57	0.000	0.337
t58	0.015	0.337
t59	0.045	0.337
t60	0.073	0.337
t61	0.090	0.337
t62	0.090	0.337
t63	0.073	0.337
t64	0.044	0.337
t65	0.012	0.337
t66	0.000	0.337
t67	0.000	0.337
t68	0.000	0.337
t69	0.000	0.337
t70	0.000	0.337
t71	0.000	0.337
t72	0.000	0.337
t73	0.000	0.337
t74	0.000	0.337
t75	0.000	0.337
t76	0.000	0.337
t77	0.000	0.337
t78	0.000	0.337
t79	0.000	0.337
t80	0.000	0.337
t81	0.000	0.337
t82	0.015	0.337
t83	0.045	0.337
t84	0.073	0.337
t85	0.090	0.337
t86	0.090	0.337
t87	0.073	0.337
t88	0.044	0.337
t89	0.012	0.337
t90	0.000	0.337
t91	0.000	0.337
t92	0.000	0.337
t93	0.000	0.337
t94	0.000	0.337
t95	0.000	0.337
t96	0.000	0.337
t97	0.000	0.337
t98	0.000	0.337
t99	0.000	0.337
t100	0.000	0.337
t101	0.000	0.337
t102	0.000	0.337
t103	0.000	0.337
t104	0.000	0.337
t105	0.000	0.337
t106	0.015	0.337
t107	0.045	0.337
t108	0.073	0.337
t109	0.090	0.337
t110	0.090	0.337
t111	0.073	0.337
t112	0.044	0.337
t113	0.012	0.337
t114	0.000	0.337
t115	0.000	0.337
t116	0.000	0.337
t117	0.000	0.337
t118	0.000	0.337
t119	0.000	0.337
t120	0.000	0.337
t121	0.000	0.337
t122	0.000	0.337
t123	0.000	0.337
t124	0.000	0.337
t125	0.000	0.337
t126	0.000	0.337
t127	0.000	0.337
t128	0.000	0.337
t129	0.000	0.337
t130	0.015	0.337
t131	0.045	0.337
t132	0.073	0.337
